"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000171735.19",1332.29405153801,-0.470342273119413,0.115712189628603,-4.06475994127369,4.80819248887435e-05,0.000937388483483155
"ENSG00000227950.1",6.55933491221983,0.827248356832578,0.703584612810377,1.17576243392851,0.239689821849132,NA
"ENSG00000270171.1",4.86669340551008,0.581726649594342,0.769937456059594,0.755550525586218,0.449918728332637,NA
"ENSG00000270035.1",9.86849784644373,-0.0903755011609402,0.534233512850614,-0.169168535831281,0.865664077832673,0.941738719134553
"ENSG00000269978.1",18.6813653430992,0.301634920662988,0.3856757019647,0.782094695430401,0.434158923964125,0.667888720955433
"ENSG00000049245.13",1501.66206966303,-0.195562470543483,0.119144289231968,-1.64139189384673,0.100716091486484,0.292325847815632
"ENSG00000269925.1",23.5256967144585,0.551212874096353,0.362771529009702,1.51944910230706,0.128649490333399,0.338279361836401
"ENSG00000049246.15",864.038452664454,-0.462309842884534,0.0974430431915041,-4.74441096811765,2.09113925124829e-06,5.93460025480844e-05
"ENSG00000236266.1",11.0235078182292,0.00232066704548531,0.483631040447357,0.0047984245248996,0.996171425847486,0.998995558698215
"ENSG00000049247.14",1.64446306088074,-0.180770486036537,1.25890098511209,-0.143593887187594,0.885821167948783,NA
"ENSG00000049249.9",28.6200730748636,0.668208903532647,0.572470645155021,1.1672369739617,0.243114683146514,0.488528277743843
"ENSG00000116288.13",2945.18054974361,-0.332163588621415,0.125444071153316,-2.64790185432876,0.00809930351801226,0.0547313283276796
"ENSG00000200344.1",5.16987806132974,-0.455220042735837,0.746170736401202,-0.610074907160489,0.541812187997298,NA
"ENSG00000284747.1",8.92794140520497,0.348411937460744,0.551230209302405,0.632062487833654,0.527346045930623,0.740806018807496
"ENSG00000284716.1",1.16290071450036,2.75944660871867,1.79281745294617,1.53916764039976,0.123763375368588,NA
"ENSG00000116285.13",418.346159517811,-0.02916440376052,0.149395210289692,-0.195216457769745,0.845223495485135,0.930488280424413
"ENSG00000162426.16",36.9513743362678,0.218037057283873,0.342587130412983,0.636442638755965,0.524487957005586,0.738992947172594
"ENSG00000142599.19",2604.79946308563,0.0781487782944832,0.109415642006512,0.714237716485106,0.475080198282323,0.70043370113864
"ENSG00000232912.6",15.9003078273343,0.887230655559725,0.44044794831978,2.01438253701563,0.043969386363811,0.175287198216978
"ENSG00000270282.1",3.66388768404191,1.25604728716029,0.954589767149648,1.31579797980737,0.188241857521317,NA
