"","SRR14862052ReadsPerGene.out.tab","SRR14862053ReadsPerGene.out.tab","SRR14862054ReadsPerGene.out.tab","SRR14862055ReadsPerGene.out.tab","SRR14862056ReadsPerGene.out.tab","SRR14862057ReadsPerGene.out.tab","SRR14862058ReadsPerGene.out.tab","SRR14862059ReadsPerGene.out.tab","SRR14862060ReadsPerGene.out.tab"
"ENSG00000271746.1",4,4,8,7,11,8,3,6,10
"ENSG00000069812.11",1,2,0,0,0,1,2,2,1
"ENSG00000187017.17",0,0,1,0,0,0,0,2,2
"ENSG00000265392.1",0,0,0,0,0,0,0,0,0
"ENSG00000231868.1",0,0,0,0,0,0,0,0,1
"ENSG00000215788.11",142,202,250,148,142,120,147,202,199
"ENSG00000171680.23",312,499,622,380,298,216,376,603,503
"ENSG00000162408.11",1279,1339,1633,1491,1503,1536,1563,1309,1293
"ENSG00000253022.1",1,2,1,4,1,4,2,2,11
"ENSG00000229519.2",9,16,32,21,15,34,14,10,22
"ENSG00000173662.21",4,8,6,6,4,4,5,10,4
"ENSG00000204859.13",225,301,365,262,208,177,261,306,305
"ENSG00000162413.16",200,297,305,253,211,179,239,308,302
"ENSG00000116273.6",823,843,864,975,823,759,1053,873,818
"ENSG00000041988.15",135,148,200,171,125,92,157,206,180
"ENSG00000007923.16",931,962,1237,1059,1098,1141,1156,1005,1013
"ENSG00000228750.7",0,0,0,0,0,0,0,0,0
"ENSG00000284744.1",0,0,0,0,0,0,0,0,0
"ENSG00000237436.1",7,7,11,6,9,11,14,6,11
"ENSG00000171735.19",1327,1269,1233,1438,1435,1309,1765,1282,1063
"ENSG00000227950.1",4,6,15,6,6,6,3,10,5
"ENSG00000237365.1",0,2,0,0,0,1,0,0,0
"ENSG00000207056.1",0,0,0,0,0,0,0,0,0
"ENSG00000237402.1",1,0,1,3,0,0,1,2,1
"ENSG00000237728.2",0,2,0,1,0,0,0,0,0
"ENSG00000225126.1",0,0,0,1,0,0,0,0,0
"ENSG00000270171.1",3,6,8,7,4,8,2,3,4
"ENSG00000270035.1",10,7,12,8,7,7,15,9,15
"ENSG00000269978.1",15,15,23,19,18,21,16,20,24
"ENSG00000049245.13",1424,1502,1543,1414,1668,1620,1758,1485,1278
"ENSG00000269925.1",19,29,27,18,27,30,14,25,26
"ENSG00000049246.15",893,784,898,1038,825,801,1113,768,743
"ENSG00000236266.1",11,7,17,13,9,10,12,9,13
"ENSG00000049247.14",3,1,3,0,1,2,3,1,1
"ENSG00000049249.9",4,61,12,7,82,5,2,81,6
"ENSG00000270330.1",0,0,0,0,0,0,0,0,0
"ENSG00000116288.13",2872,2579,2986,3056,3272,3064,3843,2666,2512
"ENSG00000200344.1",5,6,6,7,8,3,4,4,4
"ENSG00000284747.1",8,5,13,9,10,12,7,9,9
"ENSG00000284716.1",0,0,3,0,2,1,1,0,4
"ENSG00000116285.13",296,499,343,362,649,413,362,545,344
"ENSG00000238290.1",0,2,2,0,2,1,1,0,1
"ENSG00000232848.1",0,0,0,0,0,0,0,0,2
"ENSG00000229305.1",0,0,0,0,0,0,0,0,0
"ENSG00000227634.3",0,0,0,0,0,0,0,0,0
"ENSG00000200975.1",0,0,0,0,0,0,0,0,0
"ENSG00000233645.1",0,0,0,0,0,0,0,0,0
"ENSG00000251977.1",0,0,0,0,0,0,0,0,0
"ENSG00000162426.16",24,59,53,29,34,23,33,49,35
"ENSG00000252254.1",0,0,0,0,0,0,0,0,2
"ENSG00000142599.19",2179,2718,3272,2604,2567,2548,2439,2862,2637
"ENSG00000232912.6",12,20,29,9,11,21,13,12,20
"ENSG00000221083.1",0,0,4,0,1,2,0,1,2
"ENSG00000270282.1",0,3,5,6,3,5,1,3,8
"ENSG00000234619.1",5,6,20,11,10,13,13,12,12
"ENSG00000224315.2",5,10,10,9,4,13,11,9,19
"ENSG00000222511.2",2,4,1,2,2,3,1,3,6
"ENSG00000226545.1",2,8,14,7,5,5,3,2,6
"ENSG00000228423.2",7,7,15,6,11,11,7,13,13
"ENSG00000229716.2",0,0,0,0,0,0,0,0,0
"ENSG00000074800.16",17509,15138,16970,19600,15487,12625,23110,16046,14096
"ENSG00000274258.1",2,4,3,5,4,3,5,1,1
"ENSG00000230679.1",4,2,4,8,3,6,5,4,1
"ENSG00000201725.1",0,0,0,0,1,0,0,0,1
"ENSG00000238249.2",14,14,7,15,25,18,26,17,13
"ENSG00000232208.2",0,1,0,0,0,0,0,0,0
"ENSG00000232663.2",0,0,0,0,0,0,0,0,0
"ENSG00000131686.15",0,1,0,0,0,0,0,0,0
"ENSG00000265141.2",8,6,6,9,2,2,11,8,1
"ENSG00000197241.4",0,0,0,0,0,0,0,0,0
"ENSG00000142583.18",0,1,0,2,1,0,2,0,0
"ENSG00000252404.1",0,0,0,0,0,0,0,0,0
"ENSG00000180758.12",138,160,186,177,184,137,179,160,147
"ENSG00000228526.7",81,358,217,131,303,203,110,317,222
"ENSG00000284357.1",0,0,0,0,0,0,0,0,0
"ENSG00000234546.4",13,43,30,12,42,27,13,38,15
"ENSG00000049239.13",1384,2422,2239,1696,2036,1534,1493,2477,1967
"ENSG00000171621.14",53,65,52,43,46,43,57,64,37
"ENSG00000284652.1",3,4,5,2,2,3,6,6,1
"ENSG00000284693.1",17,26,31,21,37,15,21,28,24
"ENSG00000252956.1",0,0,0,0,0,0,0,0,0
"ENSG00000235263.1",0,0,0,0,0,0,0,0,0
"ENSG00000171612.7",283,252,283,318,335,332,348,276,232
"ENSG00000231181.1",4,15,18,9,18,13,10,10,17
"ENSG00000188807.13",352,323,527,447,190,196,402,399,458
"ENSG00000171608.16",60,129,107,101,115,64,89,155,95
"ENSG00000179840.5",0,0,0,0,0,0,0,0,0
"ENSG00000233268.3",0,0,0,0,0,1,0,0,0
"ENSG00000231789.2",54,54,77,47,47,37,67,63,54
"ENSG00000171603.18",2857,3479,3589,3205,3212,2603,3072,3514,2878
