"","SRR14862052ReadsPerGene.out.tab","SRR14862053ReadsPerGene.out.tab","SRR14862054ReadsPerGene.out.tab","SRR14862055ReadsPerGene.out.tab","SRR14862056ReadsPerGene.out.tab","SRR14862057ReadsPerGene.out.tab","SRR14862058ReadsPerGene.out.tab","SRR14862059ReadsPerGene.out.tab","SRR14862060ReadsPerGene.out.tab"
"ENSG00000270164.1",0,0,0,0,0,0,0,0,0
"ENSG00000268027.5",0,0,0,0,0,0,0,0,0
"ENSG00000007129.18",0,0,0,0,0,0,0,0,0
"ENSG00000280014.1",0,0,0,0,0,0,0,0,0
"ENSG00000239736.2",0,0,0,0,0,0,0,0,0
"ENSG00000269266.1",0,0,0,0,0,0,0,0,0
"ENSG00000105352.10",0,0,0,0,0,0,0,0,0
"ENSG00000268997.1",0,0,0,0,0,0,0,0,0
"ENSG00000269354.1",0,0,0,0,0,0,0,0,0
"ENSG00000268582.1",0,0,0,0,0,0,0,0,0
"ENSG00000007306.15",0,0,0,0,0,0,0,0,0
"ENSG00000105388.16",0,0,1,0,0,0,0,0,0
"ENSG00000267881.2",0,0,0,0,0,0,0,0,0
"ENSG00000086548.9",0,0,0,0,0,0,0,0,0
"ENSG00000268833.1",0,0,0,0,0,0,0,0,0
"ENSG00000170956.17",0,0,0,0,0,0,0,0,0
"ENSG00000269119.1",0,0,3,1,2,0,1,1,0
"ENSG00000278239.1",0,0,0,0,0,0,0,0,0
"ENSG00000273111.6",0,0,0,0,0,0,0,0,0
"ENSG00000142025.16",0,0,0,0,0,0,0,0,0
"ENSG00000105372.8",7816,9506,10900,9128,7949,5333,10253,11910,9513
"ENSG00000276926.1",1,5,1,2,2,1,3,4,3
"ENSG00000105369.10",5,1,1,0,1,2,0,2,2
"ENSG00000076928.18",694,870,1120,913,528,449,876,1069,1111
"ENSG00000268041.3",3,4,18,7,11,3,3,18,10
"ENSG00000105404.11",22,22,24,38,23,15,36,38,31
"ENSG00000285505.1",0,0,0,0,0,0,0,0,0
"ENSG00000105409.19",152,88,92,124,94,60,183,96,57
"ENSG00000105737.9",506,683,798,649,454,376,601,662,626
"ENSG00000105732.13",259,278,358,338,184,116,323,326,306
"ENSG00000028277.21",21,17,22,24,15,15,22,22,23
"ENSG00000254887.1",0,0,1,0,0,0,1,2,0
"ENSG00000266226.1",0,0,0,0,0,0,0,0,0
"ENSG00000259436.1",1,2,2,1,0,0,0,0,3
"ENSG00000160570.14",142,142,189,147,91,98,185,146,156
"ENSG00000288671.1",0,0,0,0,0,0,0,0,0
"ENSG00000167625.11",214,243,276,232,225,192,221,264,239
"ENSG00000105723.13",708,632,989,791,655,637,805,710,737
"ENSG00000268643.2",0,0,0,0,0,0,0,0,0
"ENSG00000279539.1",51,44,68,43,28,39,42,44,52
"ENSG00000105722.10",379,553,572,464,352,235,448,683,479
"ENSG00000079432.9",672,857,1120,803,443,345,778,1016,965
"ENSG00000079462.8",402,446,484,490,291,184,489,540,467
"ENSG00000188368.11",4,10,17,12,11,8,11,17,17
"ENSG00000167619.13",227,125,122,287,137,81,256,120,129
"ENSG00000105429.13",1272,1715,1897,1623,1140,954,1445,1940,1642
"ENSG00000277533.1",0,0,0,0,0,0,0,0,0
"ENSG00000105427.10",8,8,21,6,4,6,11,10,11
"ENSG00000213904.9",7,8,13,6,10,11,5,10,7
"ENSG00000079435.10",52,76,120,67,44,29,64,99,100
"ENSG00000268605.1",0,0,0,0,0,0,0,0,0
"ENSG00000189377.9",1,1,5,2,7,6,1,5,5
"ENSG00000253048.1",0,0,0,0,0,0,0,1,0
"ENSG00000269374.1",0,0,0,1,1,0,1,0,0
"ENSG00000079385.23",6,14,22,20,11,16,8,13,21
"ENSG00000230558.2",0,0,0,0,0,0,0,0,0
"ENSG00000124469.12",0,2,0,0,0,0,0,1,1
"ENSG00000233681.1",0,0,0,0,0,0,0,0,0
"ENSG00000231561.2",1,2,1,1,0,2,0,1,0
"ENSG00000243167.1",0,0,0,0,0,1,0,0,0
"ENSG00000221826.10",0,0,0,0,0,0,0,0,0
"ENSG00000124467.19",0,0,0,0,0,0,0,0,0
"ENSG00000238092.1",0,0,0,0,0,0,0,1,0
"ENSG00000225877.1",0,0,0,0,0,0,0,0,0
"ENSG00000248257.7",0,0,0,0,0,0,0,0,0
"ENSG00000231924.10",0,0,0,0,0,0,0,0,0
"ENSG00000170848.16",0,0,0,0,0,0,0,0,0
"ENSG00000221878.13",0,0,0,0,0,0,0,0,0
"ENSG00000227349.1",0,0,0,0,0,0,0,0,0
"ENSG00000282943.1",0,0,0,0,0,0,0,0,0
"ENSG00000243130.8",0,0,0,0,0,0,0,0,0
"ENSG00000236932.2",0,0,0,0,0,0,0,0,0
"ENSG00000242221.9",0,0,0,0,0,0,1,0,0
"ENSG00000230529.1",0,0,0,0,0,0,0,0,0
"ENSG00000227606.2",0,0,0,0,0,0,0,0,0
"ENSG00000204941.14",0,0,0,0,0,0,0,0,0
"ENSG00000243137.8",0,0,0,0,1,0,1,0,0
"ENSG00000241104.5",0,0,0,0,0,0,1,0,0
"ENSG00000183668.18",0,0,0,0,0,0,0,0,0
"ENSG00000236123.1",0,0,0,1,0,0,0,0,0
"ENSG00000230681.1",0,0,0,0,0,0,0,0,0
"ENSG00000231412.2",0,0,0,0,0,0,0,0,0
"ENSG00000204936.10",0,0,0,0,0,0,0,0,0
"ENSG00000272396.1",0,0,0,0,0,0,0,0,0
"ENSG00000204933.3",0,0,0,0,0,0,0,0,0
"ENSG00000131126.19",1,0,0,0,0,0,0,0,0
"ENSG00000124466.9",2,1,7,3,1,1,2,2,4
"ENSG00000176531.10",35,55,77,35,42,33,56,80,63
"ENSG00000105755.8",99,99,102,92,107,101,118,97,75
"ENSG00000176472.10",10,30,31,28,20,24,21,23,25
"ENSG00000073050.12",281,289,355,306,286,250,338,333,300
"ENSG00000269177.1",2,3,4,6,2,5,4,2,3
"ENSG00000268361.1",0,0,0,0,0,0,0,0,0
"ENSG00000269583.1",0,0,0,0,0,0,0,0,0
"ENSG00000234465.11",15,5,16,15,11,18,12,12,9
"ENSG00000167378.9",2113,2550,2350,2332,2634,2188,2326,2450,1849
"ENSG00000124444.16",136,133,183,138,136,137,157,162,177
"ENSG00000226763.5",18,13,30,14,19,33,15,24,30
"ENSG00000131116.12",41,44,59,31,46,33,40,52,41
"ENSG00000105767.3",458,399,542,565,312,269,567,472,433
"ENSG00000011422.12",352,310,342,387,299,239,442,358,298
"ENSG00000239948.2",2,3,2,2,4,2,4,6,6
"ENSG00000283525.1",0,0,1,0,0,0,0,0,0
"ENSG00000124449.7",0,0,0,0,0,1,1,0,0
"ENSG00000105771.14",444,534,595,538,457,436,552,512,521
"ENSG00000104783.14",1,1,0,1,0,1,3,1,1
"ENSG00000159871.15",4,2,0,2,2,2,6,1,1
"ENSG00000268601.1",0,1,0,0,1,0,0,0,0
"ENSG00000167637.18",336,446,535,426,565,563,451,462,471
"ENSG00000176222.9",26,41,31,34,47,43,28,43,37
"ENSG00000278917.1",18,29,33,19,32,30,23,23,17
"ENSG00000267058.1",3,10,6,8,14,6,12,13,4
"ENSG00000286613.1",11,24,18,7,33,20,18,16,18
"ENSG00000267191.2",40,50,73,53,47,88,64,45,72
"ENSG00000124459.12",863,879,1121,971,955,1065,1080,928,942
"ENSG00000159905.15",241,239,348,258,278,296,270,230,267
"ENSG00000204920.11",88,135,122,123,164,138,100,112,114
"ENSG00000277806.1",44,53,45,44,48,51,39,38,59
"ENSG00000278492.1",12,14,19,13,11,11,17,13,15
"ENSG00000266921.2",12,17,14,16,11,15,22,12,12
"ENSG00000159882.13",199,185,270,206,251,244,301,207,232
"ENSG00000267144.2",4,2,3,2,3,1,7,1,1
"ENSG00000159885.14",128,118,162,141,148,174,166,150,133
"ENSG00000267022.1",0,0,0,0,0,0,0,0,0
"ENSG00000178386.13",42,49,65,45,55,57,58,44,58
"ENSG00000186026.7",164,235,240,194,253,239,222,214,201
"ENSG00000253021.1",1,3,3,1,1,2,1,1,1
"ENSG00000267680.5",310,372,484,355,411,460,383,382,410
"ENSG00000186019.11",31,23,39,42,26,64,41,39,37
"ENSG00000256294.8",280,311,438,297,367,422,352,327,364
"ENSG00000263002.8",503,627,775,539,756,772,674,615,642
"ENSG00000287035.1",2,2,6,1,2,7,3,4,4
"ENSG00000167380.17",654,788,904,697,917,915,775,746,835
"ENSG00000131115.16",599,693,834,749,761,834,793,637,714
"ENSG00000159917.17",409,400,621,483,434,665,537,392,517
"ENSG00000279103.1",23,29,52,34,28,37,21,35,31
"ENSG00000159915.13",170,198,278,206,208,292,191,176,244
"ENSG00000270679.1",10,10,22,11,8,17,14,5,25
"ENSG00000267590.1",20,29,45,15,24,37,20,16,40
"ENSG00000062370.17",328,382,448,371,411,466,424,303,332
"ENSG00000267173.1",0,0,0,0,0,0,0,0,0
"ENSG00000267508.6",108,117,133,104,117,130,118,111,109
"ENSG00000267188.1",0,0,0,0,0,0,0,0,0
"ENSG00000278318.5",105,40,163,107,49,172,123,43,137
"ENSG00000176761.7",10,11,16,10,14,18,8,4,12
"ENSG00000167384.11",450,428,505,506,527,562,572,446,456
"ENSG00000273777.5",0,1,0,0,0,0,0,0,0
"ENSG00000267614.1",0,0,0,0,0,0,0,1,0
"ENSG00000230666.5",0,0,0,0,0,0,0,0,0
"ENSG00000224366.1",0,0,0,0,0,0,0,0,0
"ENSG00000216588.9",0,3,0,1,2,3,0,1,2
"ENSG00000266903.2",2,1,5,0,7,2,2,5,4
"ENSG00000073008.15",639,656,761,761,601,625,809,634,649
"ENSG00000283673.1",0,5,3,0,1,4,0,2,0
"ENSG00000186567.13",7,21,24,13,21,26,17,22,21
"ENSG00000279095.1",0,0,0,0,0,0,0,0,0
"ENSG00000213892.12",0,0,0,0,0,0,0,0,0
"ENSG00000252200.1",0,0,0,0,0,0,0,0,0
"ENSG00000069399.15",9,58,29,11,32,9,6,59,13
"ENSG00000284258.1",0,0,0,0,0,0,0,0,0
"ENSG00000253027.1",0,0,0,0,0,0,0,0,0
"ENSG00000236807.1",0,0,0,0,0,0,0,0,0
"ENSG00000142273.13",0,0,0,0,0,0,0,0,0
"ENSG00000285128.1",0,0,0,0,0,0,0,0,0
"ENSG00000187244.12",3,13,9,4,13,2,1,16,14
"ENSG00000130202.10",203,381,318,294,273,155,290,474,262
"ENSG00000267282.1",0,0,2,0,1,1,0,2,4
"ENSG00000130204.13",819,729,982,960,533,401,1040,904,807
"ENSG00000130203.10",1,9,17,8,4,5,2,15,11
"ENSG00000280087.1",1,4,1,1,4,3,2,5,3
"ENSG00000130208.10",15,24,17,8,30,21,17,31,17
"ENSG00000214855.9",0,1,0,1,0,0,0,0,0
"ENSG00000267467.4",0,0,0,0,0,0,0,0,0
"ENSG00000224916.9",0,0,0,0,0,1,0,0,1
"ENSG00000234906.11",0,0,0,1,1,1,0,1,1
"ENSG00000267114.1",5,8,4,1,10,12,7,9,3
"ENSG00000104853.16",1003,1111,1210,1210,987,757,1199,1135,988
"ENSG00000104856.14",29,112,37,44,105,32,24,113,43
"ENSG00000104859.15",487,492,683,557,392,457,599,557,595
"ENSG00000207003.1",7,10,4,5,3,5,7,7,7
"ENSG00000170684.9",2,3,6,0,1,0,0,4,1
"ENSG00000267348.3",18,21,24,19,27,32,27,25,24
"ENSG00000142252.11",11,18,21,18,15,18,21,10,19
"ENSG00000007047.15",548,667,701,542,534,510,636,612,610
"ENSG00000104866.11",216,214,287,250,129,108,203,247,245
"ENSG00000267346.1",1,7,8,6,7,6,2,3,8
"ENSG00000267044.1",3,3,6,3,2,1,1,6,6
"ENSG00000179846.10",12,8,18,15,10,12,8,7,18
"ENSG00000007255.10",34,36,57,49,26,17,34,49,52
"ENSG00000189114.8",113,118,129,107,125,86,145,142,95
"ENSG00000283632.4",0,0,2,0,0,0,0,1,2
"ENSG00000104879.5",2,4,6,2,1,1,2,6,7
"ENSG00000242675.1",0,0,0,0,0,0,0,0,0
"ENSG00000104892.17",3,4,8,4,1,1,2,1,2
"ENSG00000104884.17",449,510,624,510,419,334,540,545,513
"ENSG00000104881.16",70,65,118,100,60,56,73,87,100
"ENSG00000117877.11",70,58,77,74,77,67,100,60,51
"ENSG00000012061.16",763,883,973,824,803,606,949,931,831
"ENSG00000275726.1",0,0,0,0,0,0,0,0,0
"ENSG00000125740.14",10,10,10,7,2,5,9,8,8
"ENSG00000125744.12",310,172,217,408,147,91,451,206,162
"ENSG00000213889.11",44,38,35,36,36,32,38,43,38
"ENSG00000125753.14",354,449,468,407,410,316,482,460,414
"ENSG00000125741.5",398,533,534,480,463,425,434,502,454
"ENSG00000177464.5",0,6,3,1,2,2,0,1,2
"ENSG00000125746.18",91,108,126,115,95,72,102,105,119
"ENSG00000284544.1",0,0,0,0,0,0,0,0,0
"ENSG00000267757.4",0,0,0,0,0,0,0,0,0
"ENSG00000241226.3",1,0,2,1,1,0,4,2,1
"ENSG00000010310.9",42,53,65,32,42,41,33,44,56
"ENSG00000207773.1",0,0,0,0,0,0,0,0,0
"ENSG00000283212.1",0,0,0,0,0,0,0,0,0
"ENSG00000125743.11",3539,3243,3894,3720,3548,3059,4879,3409,3208
"ENSG00000011478.13",77,85,128,73,81,74,91,103,106
"ENSG00000177051.6",209,185,265,217,216,213,249,222,267
"ENSG00000279407.1",80,92,115,70,83,100,61,75,105
"ENSG00000237452.3",0,0,0,2,0,0,1,0,2
"ENSG00000177045.10",10,16,22,13,6,6,6,21,22
"ENSG00000259605.3",0,1,0,0,0,0,0,1,0
"ENSG00000267395.5",9,18,22,19,10,12,18,6,21
"ENSG00000104936.20",247,318,504,338,187,227,289,349,462
"ENSG00000268434.5",0,0,0,0,0,0,0,0,0
"ENSG00000185800.12",478,520,674,558,393,407,507,560,611
"ENSG00000104941.8",3,2,4,2,2,2,3,2,4
"ENSG00000125755.19",1541,2008,2363,1803,1465,1302,1722,2170,2077
"ENSG00000269148.1",8,14,13,14,16,14,12,6,14
"ENSG00000170608.3",1,10,2,0,3,0,1,0,2
"ENSG00000170604.5",272,231,383,286,165,130,299,279,278
"ENSG00000176182.6",57,54,87,70,53,45,59,61,63
"ENSG00000188425.4",0,0,0,1,0,0,2,1,1
"ENSG00000104967.8",693,617,805,806,607,690,727,641,755
"ENSG00000104983.8",30,63,79,47,38,36,54,68,75
"ENSG00000211580.1",0,0,2,1,1,0,0,0,0
"ENSG00000008438.5",7,6,6,3,2,3,8,8,6
"ENSG00000268401.2",10,18,11,6,18,18,8,15,21
"ENSG00000204869.8",0,0,3,1,1,3,0,0,1
"ENSG00000267922.1",0,0,0,0,0,0,0,0,0
"ENSG00000268053.1",0,0,0,0,0,0,0,0,0
"ENSG00000188624.3",0,0,0,0,0,0,0,0,0
"ENSG00000259339.2",0,0,2,0,0,0,0,0,0
"ENSG00000204866.8",0,0,0,0,0,0,0,0,0
"ENSG00000269729.1",0,0,0,0,0,0,0,0,0
"ENSG00000268621.6",0,0,0,0,0,0,0,0,0
"ENSG00000268879.1",0,0,0,0,0,0,0,0,0
"ENSG00000268460.2",0,0,0,0,0,0,0,0,0
"ENSG00000269637.1",1,0,0,0,0,0,0,0,0
"ENSG00000269745.1",0,0,0,0,0,0,0,0,0
"ENSG00000188293.6",0,0,0,0,0,0,0,0,0
"ENSG00000277748.1",0,0,0,0,0,0,0,0,0
"ENSG00000268238.1",0,0,0,0,0,0,0,0,0
"ENSG00000124440.16",22,47,44,35,36,41,20,44,39
"ENSG00000199796.1",0,0,0,0,0,0,1,0,0
"ENSG00000269124.1",0,0,0,0,1,0,0,0,0
"ENSG00000011485.15",1257,1173,1531,1471,1086,933,1616,1318,1320
"ENSG00000268810.1",0,0,0,0,0,0,0,0,0
"ENSG00000269151.1",0,0,0,0,0,0,0,0,0
"ENSG00000169515.8",1,4,4,2,1,1,3,3,3
"ENSG00000277531.3",253,227,237,250,235,191,271,232,200
"ENSG00000182013.18",969,1107,1093,1063,1112,904,1209,1071,929
"ENSG00000230510.7",11,14,14,11,18,15,16,16,9
"ENSG00000204851.7",25,31,53,27,20,18,34,36,36
"ENSG00000204850.4",0,0,1,0,0,0,0,0,0
"ENSG00000278797.1",0,0,0,0,0,0,0,0,0
"ENSG00000249210.1",1,1,0,4,1,2,0,1,1
"ENSG00000160014.17",2900,2782,3065,3371,2842,2199,3585,2996,2535
"ENSG00000269292.1",0,0,0,0,0,0,0,0,0
"ENSG00000160013.9",64,11,25,71,8,19,61,8,20
"ENSG00000167414.4",565,386,692,682,254,239,742,502,554
"ENSG00000279161.1",254,137,286,272,122,264,258,138,255
"ENSG00000197380.11",512,398,578,579,448,568,651,396,459
"ENSG00000245598.6",17,18,25,14,19,26,21,9,25
"ENSG00000105287.13",719,750,847,925,526,498,902,754,780
"ENSG00000243560.3",0,2,3,5,1,4,3,1,3
"ENSG00000211513.5",2,4,3,8,6,3,5,3,0
"ENSG00000090372.15",1300,1283,1762,1515,984,799,1552,1573,1418
"ENSG00000269487.1",5,6,9,5,6,7,6,8,4
"ENSG00000222614.1",0,0,0,0,0,0,0,1,0
"ENSG00000181027.11",296,431,429,370,360,269,371,449,366
"ENSG00000105281.12",1169,1105,1373,1333,938,775,1512,1178,1154
"ENSG00000275719.1",2,3,4,0,1,1,4,2,2
"ENSG00000275862.1",0,0,0,0,0,0,0,0,0
"ENSG00000269576.1",0,0,0,0,0,0,0,0,0
"ENSG00000269014.1",0,0,0,0,0,0,0,0,0
"ENSG00000042753.12",1166,979,1328,1324,953,942,1457,1148,1117
"ENSG00000160007.19",4849,4711,5746,5812,4562,4761,5789,4871,4998
"ENSG00000279948.1",29,50,60,46,36,48,34,44,58
"ENSG00000130751.10",6,12,11,6,6,3,9,7,13
"ENSG00000130748.7",21,16,26,24,14,10,35,21,36
"ENSG00000130749.10",1387,1659,2067,1701,1377,1406,1578,1861,1738
"ENSG00000142230.13",3101,2493,2912,3378,2801,2595,3956,2641,2365
"ENSG00000105327.18",24,54,61,40,37,23,50,82,73
"ENSG00000265134.1",0,0,0,0,0,0,0,0,0
"ENSG00000284411.1",0,0,0,0,0,0,0,0,0
"ENSG00000286669.1",4,1,1,3,1,0,2,0,2
"ENSG00000105321.14",90,125,185,96,104,95,122,148,138
"ENSG00000257704.4",32,33,54,35,29,7,32,67,40
"ENSG00000197405.8",0,2,1,0,1,0,1,1,3
"ENSG00000134830.6",0,1,1,1,0,0,0,0,1
"ENSG00000134815.19",306,405,589,367,296,296,362,403,446
"ENSG00000105419.18",556,791,810,738,542,303,688,880,686
"ENSG00000118160.14",133,73,85,183,65,44,160,91,72
"ENSG00000287896.1",11,9,9,12,14,3,8,9,7
"ENSG00000118162.14",145,101,179,155,120,116,188,135,144
"ENSG00000268061.5",15,23,36,30,23,26,18,13,17
"ENSG00000105402.8",343,368,434,448,345,304,436,331,355
"ENSG00000279861.1",11,17,31,14,7,6,8,18,13
"ENSG00000118156.12",0,0,2,0,0,0,0,2,0
"ENSG00000276588.1",0,0,0,0,0,0,0,1,0
"ENSG00000268746.1",0,1,0,1,0,0,0,0,1
"ENSG00000277383.1",0,1,3,1,0,0,0,0,0
"ENSG00000063169.11",174,187,275,184,148,134,179,200,220
"ENSG00000269806.1",7,10,19,9,19,16,5,9,11
"ENSG00000278999.1",5,7,14,9,3,8,2,8,14
"ENSG00000024422.12",11,18,19,14,14,12,19,9,14
"ENSG00000105373.19",1159,1278,1727,1219,1180,1017,1355,1438,1339
"ENSG00000221803.1",0,0,0,0,0,0,0,0,0
"ENSG00000269656.1",4,2,11,9,3,3,4,7,7
"ENSG00000178980.15",797,598,607,925,647,496,1048,616,579
"ENSG00000213035.4",0,0,0,0,0,0,0,0,0
"ENSG00000271150.1",0,0,0,0,0,0,0,0,0
"ENSG00000178928.8",0,0,0,0,0,0,0,1,0
"ENSG00000105392.16",0,0,1,0,0,0,0,0,0
"ENSG00000259009.4",0,0,0,0,0,0,0,0,0
"ENSG00000259108.3",0,0,0,0,0,0,0,0,0
"ENSG00000105398.4",0,0,0,0,0,0,1,0,0
"ENSG00000188334.3",0,0,0,0,0,0,0,0,0
"ENSG00000169393.9",0,0,0,0,0,0,0,0,0
"ENSG00000105507.3",0,0,0,0,0,0,0,0,0
"ENSG00000105499.14",6,16,3,1,21,3,4,12,7
"ENSG00000269420.5",0,0,1,0,0,0,0,0,0
"ENSG00000105486.14",1001,869,1141,1106,688,651,1249,896,927
"ENSG00000269534.5",6,11,7,9,8,14,11,3,18
"ENSG00000269321.1",4,6,6,11,4,6,6,2,6
"ENSG00000185453.13",62,38,79,45,43,37,30,46,53
"ENSG00000105483.18",524,645,832,575,767,801,632,603,710
"ENSG00000280353.1",6,7,15,9,13,18,4,11,9
"ENSG00000268583.2",2,12,14,14,9,14,13,12,11
"ENSG00000268001.1",18,11,14,10,21,15,12,14,12
"ENSG00000268186.1",2,2,2,1,1,1,0,3,0
"ENSG00000178150.10",130,118,150,154,174,139,165,125,134
"ENSG00000105479.16",13,15,10,9,10,6,10,13,16
"ENSG00000142227.11",8,6,21,2,2,2,4,6,15
"ENSG00000161558.11",120,172,207,154,114,134,144,164,163
"ENSG00000105467.9",3,7,1,2,4,1,1,4,1
"ENSG00000105438.9",1719,2297,2262,1864,2435,1914,2000,2367,1811
"ENSG00000105464.4",41,42,51,44,26,13,39,46,43
"ENSG00000105447.13",591,665,811,690,568,531,704,718,701
"ENSG00000182324.7",22,35,64,49,37,54,36,40,65
"ENSG00000268530.6",0,0,1,1,2,0,0,0,0
"ENSG00000268465.1",0,0,0,0,0,0,0,0,0
"ENSG00000105443.15",1091,1461,1787,1340,1141,1089,1290,1453,1554
"ENSG00000142235.13",49,50,71,40,35,19,28,60,61
"ENSG00000287603.1",0,0,1,0,0,0,0,0,0
"ENSG00000088002.12",3,2,1,1,4,4,3,4,2
"ENSG00000105523.4",8,10,33,9,9,6,9,15,30
"ENSG00000177202.3",0,2,1,2,0,0,1,0,0
"ENSG00000063177.13",4372,5111,6024,4788,4921,3809,5553,6186,5143
"ENSG00000268093.1",14,10,13,17,13,13,14,13,14
"ENSG00000063176.16",145,183,271,184,118,123,142,262,251
"ENSG00000105516.11",114,130,182,158,119,105,138,122,124
"ENSG00000063180.9",134,170,176,105,154,115,117,168,134
"ENSG00000232871.8",2,1,6,1,3,2,1,5,3
"ENSG00000142233.14",0,6,5,1,3,3,2,10,6
"ENSG00000176920.13",25,22,40,20,24,32,23,27,40
"ENSG00000176909.12",44,33,47,34,20,31,33,36,35
"ENSG00000105538.10",14,12,20,20,15,9,18,24,28
"ENSG00000182264.9",15,18,32,11,15,28,14,12,30
"ENSG00000174951.12",30,35,31,36,36,29,41,40,43
"ENSG00000105550.10",0,0,0,0,0,0,0,0,0
"ENSG00000206758.1",0,0,0,0,0,0,0,0,0
"ENSG00000105552.15",217,337,347,266,220,143,266,365,272
"ENSG00000286024.1",9,13,7,8,12,12,6,8,14
"ENSG00000087076.9",38,57,59,39,50,37,40,67,49
"ENSG00000105559.12",116,271,274,128,172,86,126,360,215
"ENSG00000087074.8",388,518,436,383,500,335,469,559,358
"ENSG00000104804.8",6,8,17,12,6,14,9,1,18
"ENSG00000104805.16",1057,1267,1663,1154,939,674,1244,1587,1318
"ENSG00000235191.1",3,1,5,1,1,0,0,3,0
"ENSG00000260366.1",3,7,7,3,6,6,0,4,4
"ENSG00000104808.8",4,10,12,9,5,2,4,10,4
"ENSG00000087088.20",517,983,772,627,756,363,655,1098,658
"ENSG00000267898.1",3,2,7,4,7,1,3,5,4
"ENSG00000087086.15",3863,5120,4948,3974,5050,3096,4980,5509,3745
"ENSG00000104812.15",496,632,711,545,530,440,579,671,520
"ENSG00000183207.14",1452,1471,1855,1651,1115,823,1815,1755,1637
"ENSG00000273898.1",0,0,0,0,0,1,0,0,0
"ENSG00000104826.15",5,5,15,3,5,5,5,9,12
"ENSG00000268655.2",23,14,40,18,16,16,18,18,21
"ENSG00000104827.12",0,0,1,0,1,1,0,2,1
"ENSG00000267335.2",0,0,0,0,0,0,0,0,0
"ENSG00000267019.1",0,0,1,0,0,0,0,0,0
"ENSG00000267099.1",0,0,0,0,0,0,0,0,0
"ENSG00000104818.15",0,0,0,0,0,0,0,0,0
"ENSG00000267631.5",0,0,0,0,0,0,0,0,0
"ENSG00000267685.2",0,0,0,0,0,0,0,0,0
"ENSG00000268669.1",0,0,0,0,0,0,0,0,0
"ENSG00000189052.7",0,0,0,0,0,0,0,0,0
"ENSG00000213030.6",0,1,0,0,0,0,0,0,0
"ENSG00000269706.1",0,0,0,0,0,0,0,0,0
"ENSG00000196337.13",0,4,1,1,3,0,1,3,4
"ENSG00000283663.1",0,0,0,0,0,0,0,0,0
"ENSG00000283251.1",0,0,0,0,0,0,0,0,0
"ENSG00000268108.1",1,7,3,0,1,1,2,2,1
"ENSG00000225950.8",1,5,6,1,8,4,5,9,3
"ENSG00000268287.1",0,0,1,0,0,0,1,0,0
"ENSG00000104848.2",2,9,10,3,2,6,0,3,3
"ENSG00000265675.2",1,0,1,0,0,1,0,0,0
"ENSG00000104852.15",1396,1680,1947,1506,1416,1238,1676,1753,1459
"ENSG00000104863.12",41,47,60,45,23,21,50,51,49
"ENSG00000221916.4",5,2,4,3,1,2,4,4,2
"ENSG00000177380.14",250,225,294,296,155,115,306,268,247
"ENSG00000130528.12",2,3,3,2,2,7,2,3,0
"ENSG00000130529.16",71,138,101,77,82,46,80,178,97
"ENSG00000269009.1",0,0,0,0,0,0,0,0,0
"ENSG00000235555.1",0,0,1,0,0,0,1,1,0
"ENSG00000063127.16",6,4,8,4,4,4,2,2,2
"ENSG00000265407.1",0,0,0,0,0,0,0,0,0
"ENSG00000197813.6",3,7,10,5,10,17,7,5,11
"ENSG00000104894.12",27,63,76,33,27,54,32,62,59
"ENSG00000074219.14",1280,1697,1881,1471,1552,1331,1644,1716,1569
"ENSG00000268157.1",19,25,27,11,21,16,16,24,26
"ENSG00000104901.7",19,21,31,28,16,15,30,26,18
"ENSG00000268686.2",12,17,17,18,10,18,16,11,16
"ENSG00000161609.10",0,0,0,0,0,0,1,0,0
"ENSG00000142538.2",0,0,0,0,0,0,0,0,0
"ENSG00000261949.7",0,0,1,2,2,0,1,1,0
"ENSG00000104888.10",11,12,24,22,11,16,15,19,15
"ENSG00000104872.11",1538,1240,1895,1720,1162,1256,1933,1365,1625
"ENSG00000161618.10",77,116,132,99,81,60,111,134,129
"ENSG00000269469.1",0,0,0,0,0,0,0,0,0
"ENSG00000090554.13",3,5,4,6,0,6,2,7,2
"ENSG00000273189.1",0,0,1,0,0,0,0,1,0
"ENSG00000142541.18",11293,13208,16424,12508,12465,10735,14754,14819,14250
"ENSG00000201675.1",0,0,0,0,0,0,0,0,0
"ENSG00000199631.1",0,0,0,0,0,0,0,0,0
"ENSG00000202503.1",0,0,0,0,0,0,0,0,0
"ENSG00000200259.1",0,0,0,0,0,0,0,0,0
"ENSG00000142534.7",12481,11448,16066,12211,13773,12876,17137,12666,12273
"ENSG00000200530.1",0,0,0,0,0,0,0,0,0
"ENSG00000207782.3",0,0,0,0,0,0,0,0,0
"ENSG00000268681.1",1,1,1,0,0,2,0,1,0
"ENSG00000104870.13",269,564,576,353,473,280,353,630,474
"ENSG00000142552.8",65,83,74,75,55,34,84,108,74
"ENSG00000142546.14",377,390,486,421,309,263,484,464,482
"ENSG00000207073.1",1,2,3,0,1,4,1,1,3
"ENSG00000126460.11",4,3,8,7,5,2,6,3,7
"ENSG00000126464.14",524,658,928,712,380,318,598,814,834
"ENSG00000268636.1",0,0,0,0,0,0,0,0,0
"ENSG00000126458.4",82,123,125,78,97,39,99,156,104
"ENSG00000126461.15",595,663,855,678,377,276,642,808,757
"ENSG00000126456.16",219,300,344,251,200,175,253,307,275
"ENSG00000126453.10",150,188,224,171,142,111,222,234,223
